NearestPond,Type
595.0783803241818,1
604.4056937096693,1
618.6050621625792,1
637.3506086360356,1
660.2547972417676,1
686.9012287931799,1
716.8721147059794,1
749.768208820927,1
785.2212040275034,1
822.8998855086126,1
862.5117613828717,1
903.801783142101,1
946.5494265336379,1
990.5650248849572,1
1035.685924679645,1
1081.772794258951,1
1128.706254899382,1
1176.38390196679,1
1224.7177244725256,1
1273.631899585246,1
1308.5160736500532,2
1338.5303082725836,2
1370.0240244854629,2
1402.896730342194,2
1009.6827222332282,0
1016.58323206752,0
1026.8219414231046,0
1040.3001418221513,0
1056.8937091790826,0
1076.458344066929,0
1066.3371689253918,0
1010.6087406377811,0
954.9603993458327,0
899.4083482772729,0
843.9729424902953,0
788.6801233766905,0
733.5634829479415,0
678.6672999534919,0
624.0511150101717,0
569.7968134215319,0
